stock_code,product_name,category,brand,supplier_id,unit_cost,reorder_level,reorder_quantity
85123A,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,Generic Home,SUP001,1.25,100,300
71053,WHITE METAL LANTERN,Home Decor,Generic Home,SUP001,2.10,80,200
84406B,CREAM CUPID HEARTS COAT HANGER,Home Decor,Generic Home,SUP002,1.85,60,150
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,Home & Living,WarmHome,SUP003,3.50,50,120
84029E,RED WOOLLY HOTTIE WHITE HEART,Home & Living,WarmHome,SUP003,3.25,50,120
22752,SET 7 BABUSHKA NESTING BOXES,Gifts,GiftCraft,SUP004,4.00,40,100
21730,GLASS STAR FROSTED T-LIGHT HOLDER,Home Decor,GlassWorks,SUP005,2.75,70,180
22633,HAND WARMER UNION JACK,Accessories,WarmHome,SUP003,1.10,120,300
22632,HAND WARMER RED POLKA DOT,Accessories,WarmHome,SUP003,1.10,120,300
84879,ASSORTED COLOUR BIRD ORNAMENT,Home Decor,Generic Home,SUP001,1.50,90,250
